Január
  Január 1.   Fruzsina
  Január 2.   Ábel
  Január 3.   Benjámin, Genovéva
  Január 4.   Leóna, Titusz
  Január 5.   Simon
  Január 6.   Boldizsár
  Január 7.   Attila, Ramóna
  Január 8.   Gyöngyvér
  Január 9.   Marcell
  Január 10.   Melánia
  Január 11.   Ágota
  Január 12.   Ernő
  Január 13.   Veronika
  Január 14.   Bódog
  Január 15.   Lóránd, Lóránt
  Január 16.   Gusztáv
  Január 17.   Antal, Antónia
  Január 18.   Piroska
  Január 19.   Márió, Sára
  Január 20.   Fábián, Sebestyén
  Január 21.   Ágnes
  Január 22.   Artúr, Vince
  Január 23.   Rajmund, Zelma
  Január 24.   Timót
  Január 25.   Pál
  Január 26.   Paula, Vanda
  Január 27.   Angelika
  Január 28.   Karola, Károly
  Január 29.   Adél
  Január 30.   Martina
  Január 31.   Gerda, Marcella
  
Összes januári névnap


Február
  Február 1.   Ignác
  Február 2.   Aida, Karolina
  Február  3.   Balázs
  Február 4.   Csenge, Ráhel
  Február 5.   Ágota, Ingrid
  Február 6.   Dóra, Dorottya
  Február 7.   Rómeó, Tódor
  Február 8.   Aranka
  Február 9.   Abigél, Alex
  Február 10.   Elvira
  Február 11.   Bertold, Marietta
  Február 12.   Lídia, Lívia
  Február 13.   Ella, Linda
  Február 14.   Bálint, Valentin
  Február 15.   Georgina, Kolos
  Február 16.   Julianna, Lilla
  Február 17.   Donát
  Február 18.   Bernadett
  Február 19.   Zsuzsanna
  Február 20.   Aladár, Álmos
  Február 21.   Eleonóra
  Február 22.   Gerzson
  Február 23.   Alfréd
  Február 24.   Mátyás
  Február 25.   Géza
  Február 26.   Edina
  Február 27.   Ákos, Bátor
  Február 28.   Elemér
  Február 29.   .

 Március
  Március 1.   Albin
  Március 2.   Lujza
  Március 3.   Kornélia
  Március 4.   Kázmér
  Március 5.   Adorján, Adrián
  Március 6.   Inez, Leonóra
  Március 7.   Tamás
  Március 8.   Zoltán
  Március 9.   Fanni, Franciska
  Március 10.   Ildikó
  Március 11.   Szilárd
  Március 12.   Gergely
  Március 13.   Ajtony, Krisztián
  Március 14.   Matild
  Március 15.   Kristóf
  Március 16.   Henrietta
  Március 17.   Gertrúd, Patrik
  Március 18.   Ede, Sándor
  Március 19.   Bánk, József
  Március 20.   Klaudia
  Március 21.   Benedek
  Március 22.   Beáta, Izolda
  Március 23.   Emőke
  Március 24.   Gábor, Karina
  Március 25.   Irén, Írisz
  Március 26.   Emánuel
  Március 27.   Hajnalka
  Március 28.   Gedeon, Johanna
  Március 29.   Auguszta
  Március 30.   Zalán
  Március 31.   Árpád


Április
  Április 1.   Hugó
  Április 2.   Áron
  Április 3.   Buda, Richárd
  Április 4.   Izidor
  Április 5.   Vince
  Április 6.   Bíborka, Vilmos
  Április 7.   Herman
  Április 8.   Dénes
  Április 9.   Erhard
  Április 10.   Zsolt
  Április 11.   Leó, Szaniszló
  Április 12.   Gyula
  Április 13.   Ida
  Április 14.   Tibor
  Április 15.   Anasztázia, Tas
  Április 16.   Csongor
  Április 17.   Rudolf
  Április 18.   Andrea, Ilma
  Április 19.   Emma
  Április 20.   Tivadar
  Április 21.   Konrád
  Április 22.   Csilla, Noémi
  Április 23.   Béla
  Április 24.   György
  Április 25.   Márk
  Április 26.   Ervin
  Április 27.   Zita
  Április 28.   Valéria
  Április 29.   Péter
  Április 30.   Katalin, Kitti


Május
  Május 1.   Fülöp, Jakab
  Május 2.   Zsigmond
  Május 3.   Irma, Tímea
  Május 4.   Flórián, Mónika
  Május 5.   Adrián, Györgyi
  Május 6.   Frida, Ivett
  Május 7.   Gizella
  Május 8.   Mihály
  Május 9.   Gergely
  Május 10.   Ármin, Pálma, Mira
  Május 11.   Ferenc
  Május 12.   Pongrác
  Május 13.   Imola, Szervác
  Május 14.   Bonifác
  Május 15.   Szonja, Zsófia
  Május 16.   Botond, Mózes
  Május 17.   Paszkál
  Május 18.   Alexandra, Erik
  Május 19.   Ivó, Milán
